Epoch 0: Loss: 6.03585, Validation Loss: 9.56826
Epoch 1: Loss: 4.57909, Validation Loss: 7.13586
Epoch 2: Loss: 3.47895, Validation Loss: 5.30301
Epoch 3: Loss: 2.64121, Validation Loss: 3.91588
Epoch 4: Loss: 1.99940, Validation Loss: 2.86393
Epoch 5: Loss: 1.50563, Validation Loss: 2.06642
Epoch 6: Loss: 1.12486, Validation Loss: 1.46362
Epoch 7: Loss: 0.83110, Validation Loss: 1.01086
Epoch 8: Loss: 0.60485, Validation Loss: 0.67443
Epoch 9: Loss: 0.43134, Validation Loss: 0.42867
Epoch 10: Loss: 0.29930, Validation Loss: 0.25388
Epoch 11: Loss: 0.20003, Validation Loss: 0.13482
Epoch 12: Loss: 0.12679, Validation Loss: 0.05964
Epoch 13: Loss: 0.07428, Validation Loss: 0.01902
Epoch 14: Loss: 0.03835, Validation Loss: 0.00562
Epoch 15: Loss: 0.01566, Validation Loss: 0.01361
Epoch 16: Loss: 0.00359, Validation Loss: 0.03834
Epoch 17: Loss: 0.00000, Validation Loss: 0.07607
Epoch 18: Loss: 0.00318, Validation Loss: 0.12381
Epoch 19: Loss: 0.01173, Validation Loss: 0.17914
Epoch 20: Loss: 0.02452, Validation Loss: 0.24012
Epoch 21: Loss: 0.04062, Validation Loss: 0.30373
Epoch 22: Loss: 0.05929, Validation Loss: 0.36986
Epoch 23: Loss: 0.07989, Validation Loss: 0.43767
Epoch 24: Loss: 0.10193, Validation Loss: 0.50636
Epoch 25: Loss: 0.12498, Validation Loss: 0.57528
Epoch 26: Loss: 0.14870, Validation Loss: 0.64393
Epoch 27: Loss: 0.17282, Validation Loss: 0.71188
Epoch 28: Loss: 0.19710, Validation Loss: 0.77882
Epoch 29: Loss: 0.22136, Validation Loss: 0.84449
Epoch 30: Loss: 0.24546, Validation Loss: 0.90869
Epoch 31: Loss: 0.26928, Validation Loss: 0.97129
Epoch 32: Loss: 0.29271, Validation Loss: 1.03171
Epoch 33: Loss: 0.31568, Validation Loss: 1.08998
Epoch 34: Loss: 0.33815, Validation Loss: 1.14643
