Epoch 0: Loss: 29.05343, Validation Loss: 97.90483
Epoch 1: Loss: 30.89665, Validation Loss: 126.29583
Epoch 2: Loss: 32.97310, Validation Loss: 163.98058
Epoch 3: Loss: 35.22438, Validation Loss: 212.77387
Epoch 4: Loss: 37.59476, Validation Loss: 274.56547
Epoch 5: Loss: 40.03317, Validation Loss: 351.26534
Epoch 6: Loss: 42.49425, Validation Loss: 444.74469
Epoch 7: Loss: 44.93868, Validation Loss: 556.77856
Epoch 8: Loss: 47.33312, Validation Loss: 688.99663
Epoch 9: Loss: 49.65008, Validation Loss: 842.84826
Epoch 10: Loss: 51.86754, Validation Loss: 1019.58591
Epoch 11: Loss: 53.96852, Validation Loss: 1220.26752
Epoch 12: Loss: 55.94056, Validation Loss: 1445.77483
Epoch 13: Loss: 57.77522, Validation Loss: 1696.84179
Epoch 14: Loss: 59.46744, Validation Loss: 1974.08564
Epoch 15: Loss: 61.01502, Validation Loss: 2278.03428
Epoch 16: Loss: 62.41808, Validation Loss: 2609.14557
Epoch 17: Loss: 63.67858, Validation Loss: 2967.81727
Epoch 18: Loss: 64.79987, Validation Loss: 3354.38860
Epoch 19: Loss: 65.78639, Validation Loss: 3769.13609
Epoch 20: Loss: 66.64331, Validation Loss: 4212.26668
Epoch 21: Loss: 67.37632, Validation Loss: 4683.91071
Epoch 22: Loss: 67.99143, Validation Loss: 5184.11652
Epoch 23: Loss: 68.49481, Validation Loss: 5712.84760
Epoch 24: Loss: 68.89271, Validation Loss: 6269.98248
Epoch 25: Loss: 69.19133, Validation Loss: 6855.31699
Epoch 26: Loss: 69.39676, Validation Loss: 7468.56860
Epoch 27: Loss: 69.51496, Validation Loss: 8109.38198
Epoch 28: Loss: 69.55171, Validation Loss: 8777.33548
Epoch 29: Loss: 69.51256, Validation Loss: 9471.94799
Epoch 30: Loss: 69.40286, Validation Loss: 10192.68579
Epoch 31: Loss: 69.22773, Validation Loss: 10938.96933
Epoch 32: Loss: 68.99204, Validation Loss: 11710.17951
Epoch 33: Loss: 68.70043, Validation Loss: 12505.66369
Epoch 34: Loss: 68.35729, Validation Loss: 13324.74115
Epoch 35: Loss: 67.96681, Validation Loss: 14166.70805
Epoch 36: Loss: 67.53292, Validation Loss: 15030.84199
Epoch 37: Loss: 67.05935, Validation Loss: 15916.40605
Epoch 38: Loss: 66.54961, Validation Loss: 16822.65250
Epoch 39: Loss: 66.00700, Validation Loss: 17748.82604
Epoch 40: Loss: 65.43464, Validation Loss: 18694.16676
Epoch 41: Loss: 64.83545, Validation Loss: 19657.91276
Epoch 42: Loss: 64.21216, Validation Loss: 20639.30249
Epoch 43: Loss: 63.56735, Validation Loss: 21637.57682
Epoch 44: Loss: 62.90343, Validation Loss: 22651.98091
Epoch 45: Loss: 62.22263, Validation Loss: 23681.76584
Epoch 46: Loss: 61.52706, Validation Loss: 24726.19006
Epoch 47: Loss: 60.81870, Validation Loss: 25784.52070
Epoch 48: Loss: 60.09935, Validation Loss: 26856.03468
Epoch 49: Loss: 59.37075, Validation Loss: 27940.01969
Epoch 50: Loss: 58.63446, Validation Loss: 29035.77510
Epoch 51: Loss: 57.89197, Validation Loss: 30142.61266
Epoch 52: Loss: 57.14465, Validation Loss: 31259.85719
Epoch 53: Loss: 56.39376, Validation Loss: 32386.84708
Epoch 54: Loss: 55.64050, Validation Loss: 33522.93482
Epoch 55: Loss: 54.88594, Validation Loss: 34667.48731
Epoch 56: Loss: 54.13110, Validation Loss: 35819.88626
Epoch 57: Loss: 53.37691, Validation Loss: 36979.52835
Epoch 58: Loss: 52.62422, Validation Loss: 38145.82550
Epoch 59: Loss: 51.87382, Validation Loss: 39318.20492
Epoch 60: Loss: 51.12645, Validation Loss: 40496.10929
Epoch 61: Loss: 50.38276, Validation Loss: 41678.99671
Epoch 62: Loss: 49.64336, Validation Loss: 42866.34078
Epoch 63: Loss: 48.90880, Validation Loss: 44057.63050
Epoch 64: Loss: 48.17960, Validation Loss: 45252.37023
Epoch 65: Loss: 47.45622, Validation Loss: 46450.07960
Epoch 66: Loss: 46.73906, Validation Loss: 47650.29336
Epoch 67: Loss: 46.02851, Validation Loss: 48852.56123
Epoch 68: Loss: 45.32490, Validation Loss: 50056.44777
Epoch 69: Loss: 44.62854, Validation Loss: 51261.53214
Epoch 70: Loss: 43.93969, Validation Loss: 52467.40789
Epoch 71: Loss: 43.25860, Validation Loss: 53673.68279
Epoch 72: Loss: 42.58548, Validation Loss: 54879.97855
Epoch 73: Loss: 41.92051, Validation Loss: 56085.93058
Epoch 74: Loss: 41.26385, Validation Loss: 57291.18776
Epoch 75: Loss: 40.61563, Validation Loss: 58495.41213
Epoch 76: Loss: 39.97598, Validation Loss: 59698.27867
Epoch 77: Loss: 39.34499, Validation Loss: 60899.47498
Epoch 78: Loss: 38.72272, Validation Loss: 62098.70102
Epoch 79: Loss: 38.10926, Validation Loss: 63295.66884
Epoch 80: Loss: 37.50463, Validation Loss: 64490.10227
Epoch 81: Loss: 36.90886, Validation Loss: 65681.73664
Epoch 82: Loss: 36.32199, Validation Loss: 66870.31849
Epoch 83: Loss: 35.74399, Validation Loss: 68055.60528
Epoch 84: Loss: 35.17488, Validation Loss: 69237.36511
Epoch 85: Loss: 34.61463, Validation Loss: 70415.37645
Epoch 86: Loss: 34.06321, Validation Loss: 71589.42780
Epoch 87: Loss: 33.52059, Validation Loss: 72759.31746
Epoch 88: Loss: 32.98672, Validation Loss: 73924.85323
Epoch 89: Loss: 32.46154, Validation Loss: 75085.85216
Epoch 90: Loss: 31.94501, Validation Loss: 76242.14021
Epoch 91: Loss: 31.43705, Validation Loss: 77393.55207
Epoch 92: Loss: 30.93759, Validation Loss: 78539.93082
Epoch 93: Loss: 30.44656, Validation Loss: 79681.12771
Epoch 94: Loss: 29.96388, Validation Loss: 80817.00190
Epoch 95: Loss: 29.48946, Validation Loss: 81947.42019
Epoch 96: Loss: 29.02321, Validation Loss: 83072.25680
Epoch 97: Loss: 28.56505, Validation Loss: 84191.39308
Epoch 98: Loss: 28.11488, Validation Loss: 85304.71736
Epoch 99: Loss: 27.67259, Validation Loss: 86412.12461
Epoch 100: Loss: 27.23810, Validation Loss: 87513.51630
Epoch 101: Loss: 26.81131, Validation Loss: 88608.80013
Epoch 102: Loss: 26.39210, Validation Loss: 89697.88985
Epoch 103: Loss: 25.98038, Validation Loss: 90780.70502
Epoch 104: Loss: 25.57604, Validation Loss: 91857.17079
Epoch 105: Loss: 25.17897, Validation Loss: 92927.21775
Epoch 106: Loss: 24.78908, Validation Loss: 93990.78170
Epoch 107: Loss: 24.40624, Validation Loss: 95047.80346
Epoch 108: Loss: 24.03036, Validation Loss: 96098.22870
Epoch 109: Loss: 23.66133, Validation Loss: 97142.00774
Epoch 110: Loss: 23.29904, Validation Loss: 98179.09541
Epoch 111: Loss: 22.94338, Validation Loss: 99209.45082
Epoch 112: Loss: 22.59425, Validation Loss: 100233.03726
Epoch 113: Loss: 22.25153, Validation Loss: 101249.82198
Epoch 114: Loss: 21.91513, Validation Loss: 102259.77611
Epoch 115: Loss: 21.58494, Validation Loss: 103262.87441
Epoch 116: Loss: 21.26086, Validation Loss: 104259.09521
Epoch 117: Loss: 20.94277, Validation Loss: 105248.42023
Epoch 118: Loss: 20.63058, Validation Loss: 106230.83442
Epoch 119: Loss: 20.32418, Validation Loss: 107206.32589
Epoch 120: Loss: 20.02347, Validation Loss: 108174.88571
Epoch 121: Loss: 19.72836, Validation Loss: 109136.50784
Epoch 122: Loss: 19.43874, Validation Loss: 110091.18898
Epoch 123: Loss: 19.15452, Validation Loss: 111038.92844
Epoch 124: Loss: 18.87559, Validation Loss: 111979.72806
Epoch 125: Loss: 18.60187, Validation Loss: 112913.59210
Epoch 126: Loss: 18.33325, Validation Loss: 113840.52710
Epoch 127: Loss: 18.06965, Validation Loss: 114760.54178
Epoch 128: Loss: 17.81097, Validation Loss: 115673.64700
Epoch 129: Loss: 17.55713, Validation Loss: 116579.85559
Epoch 130: Loss: 17.30802, Validation Loss: 117479.18229
Epoch 131: Loss: 17.06357, Validation Loss: 118371.64367
Epoch 132: Loss: 16.82369, Validation Loss: 119257.25803
Epoch 133: Loss: 16.58829, Validation Loss: 120136.04530
Epoch 134: Loss: 16.35729, Validation Loss: 121008.02701
Epoch 135: Loss: 16.13060, Validation Loss: 121873.22617
Epoch 136: Loss: 15.90814, Validation Loss: 122731.66718
Epoch 137: Loss: 15.68983, Validation Loss: 123583.37583
Epoch 138: Loss: 15.47560, Validation Loss: 124428.37915
Epoch 139: Loss: 15.26537, Validation Loss: 125266.70539
