Epoch 0: Loss: 16867966217.22966, Validation Loss: 34652664773.35506
Epoch 1: Loss: 18521280655.53124, Validation Loss: 38017425649.53077
Epoch 2: Loss: 20590546935.33218, Validation Loss: 42126568863.18243
Epoch 3: Loss: 23252775473.93432, Validation Loss: 47262242108.86072
Epoch 4: Loss: 26802150210.34247, Validation Loss: 53875129716.57277
Epoch 5: Loss: 31766200896.24504, Validation Loss: 62739846179.04256
Epoch 6: Loss: 39194377434.55166, Validation Loss: 75338513133.28053
Epoch 7: Loss: 51515603904.09341, Validation Loss: 95063655956.67453
Epoch 8: Loss: 75914257873.31177, Validation Loss: 133397900411.67062
Epoch 9: Loss: 147125590888.53290, Validation Loss: 856941641131.12280
Epoch 10: Loss: 3525667991211.15720, Validation Loss: 442236301274913280.00000
Epoch 11: Loss: 2211179560348215000.00000, Validation Loss: 1207360239885234400.00000
Epoch 12: Loss: 2166283143170364700.00000, Validation Loss: 3577214031512439300.00000
Epoch 13: Loss: 2122688708927818500.00000, Validation Loss: 9403942861730926600.00000
Epoch 14: Loss: 2080346992216897300.00000, Validation Loss: 9319873375749752800.00000
Epoch 15: Loss: 2039211036548260400.00000, Validation Loss: 9237807681484904400.00000
Epoch 16: Loss: 1999236064835300600.00000, Validation Loss: 9157678347687676900.00000
Epoch 17: Loss: 1960379358364485400.00000, Validation Loss: 9079420869718843400.00000
Epoch 18: Loss: 1922600143611316700.00000, Validation Loss: 9002973513851784200.00000
Epoch 19: Loss: 1885859486319435300.00000, Validation Loss: 8928277171393694700.00000
Epoch 20: Loss: 1850120192309153800.00000, Validation Loss: 8855275221908758500.00000
Epoch 21: Loss: 1815346714525965600.00000, Validation Loss: 8783913404886526000.00000
Epoch 22: Loss: 1781505065879652600.00000, Validation Loss: 8714139699252453400.00000
Epoch 23: Loss: 1748562737461182200.00000, Validation Loss: 8645904210166453200.00000
Epoch 24: Loss: 1716488621757687800.00000, Validation Loss: 8579159062599765000.00000
Epoch 25: Loss: 1685252940516079100.00000, Validation Loss: 8513858301220792300.00000
Epoch 26: Loss: 1654827176933374000.00000, Validation Loss: 8449957796157610000.00000
Epoch 27: Loss: 1625184011876928800.00000, Validation Loss: 8387415154238283800.00000
Epoch 28: Loss: 1596297263860714000.00000, Validation Loss: 8326189635340957700.00000
Epoch 29: Loss: 1568141832524759000.00000, Validation Loss: 8266242073513719800.00000
Epoch 30: Loss: 1540693645384009500.00000, Validation Loss: 8207534802549856300.00000
Epoch 31: Loss: 1513929607630489600.00000, Validation Loss: 8150031585727738900.00000
Epoch 32: Loss: 1487827554788689900.00000, Validation Loss: 8093697549445957600.00000
Epoch 33: Loss: 1462366208038868700.00000, Validation Loss: 8038499120504215600.00000
Epoch 34: Loss: 1437525132036552200.00000, Validation Loss: 7984403966798616600.00000
Epoch 35: Loss: 1413284695068898000.00000, Validation Loss: 7931380941216494600.00000
Epoch 36: Loss: 1389626031400085200.00000, Validation Loss: 7879400028531461100.00000
Epoch 37: Loss: 1366531005668390900.00000, Validation Loss: 7828432295113346000.00000
Epoch 38: Loss: 1343982179207320800.00000, Validation Loss: 7778449841280620500.00000
Epoch 39: Loss: 1321962778172099800.00000, Validation Loss: 7729425756135027700.00000
Epoch 40: Loss: 1300456663361058600.00000, Validation Loss: 7681334074729011200.00000
Epoch 41: Loss: 1279448301629059100.00000, Validation Loss: 7634149737426859000.00000
Epoch 42: Loss: 1258922738797122300.00000, Validation Loss: 7587848551329816600.00000
Epoch 43: Loss: 1238865573968914400.00000, Validation Loss: 7542407153644116000.00000
Epoch 44: Loss: 1219262935170744800.00000, Validation Loss: 7497802976878970900.00000
Epoch 45: Loss: 1200101456237272100.00000, Validation Loss: 7454014215769004000.00000
Epoch 46: Loss: 1181368254870281000.00000, Validation Loss: 7411019795822458900.00000
Epoch 47: Loss: 1163050911802628900.00000, Validation Loss: 7368799343402989600.00000
Epoch 48: Loss: 1145137451003886800.00000, Validation Loss: 7327333157258682400.00000
Epoch 49: Loss: 1127616320868320000.00000, Validation Loss: 7286602181417570300.00000
Epoch 50: Loss: 1110476376329605600.00000, Validation Loss: 7246587979373926400.00000
Epoch 51: Loss: 1093706861850275200.00000, Validation Loss: 7207272709494404100.00000
Epoch 52: Loss: 1077297395237116900.00000, Validation Loss: 7168639101577507800.00000
